repo_full_name,repo_url,policy_files,candidate_count,evidence_group_count,best_candidate_score,matched_ai_terms,matched_policy_terms,has_restrictive_language,evidence_blocks,commit_shas,first_processed_at,last_processed_at,manual_label,manual_notes
badlogic/pi-mono,https://github.com/badlogic/pi-mono.git,CONTRIBUTING.md,1,1,3,AI-generated,Submitting,false,Group 1 | File: CONTRIBUTING.md | Lines: 9 | Heading: The One Rule | AI terms: AI-generated | Policy terms: Submitting | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 9] Using AI to write code is fine. Submitting AI-generated slop without understanding it is not.,7002c68f8b60bdcc806840615665e896aa7a9e0a,2026-05-22T15:30:28.373164Z,2026-05-22T15:30:28.373164Z,,
better-auth/better-auth,https://github.com/better-auth/better-auth.git,CONTRIBUTING.md,1,1,5,AI-assisted,contributions; must; should; submitting; PRs,true,"Group 1 | File: CONTRIBUTING.md | Lines: 238 | Heading: AI Policy | AI terms: AI-assisted | Policy terms: contributions; must; should; submitting; PRs | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 238] We welcome AI-assisted contributions, whether code or issue reports, as long as they solve a real problem. Code must follow our coding standards and include appropriate tests and documentation. You should also review and understand what you're submitting well enough to discuss it. PRs and issues that do not meet these guidelines will be closed.",a60855e6a01270fa01cbbb9d31cd18569c5d463c,2026-05-22T15:50:46.358857Z,2026-05-22T15:50:46.358857Z,,
bevyengine/bevy,https://github.com/bevyengine/bevy.git,CONTRIBUTING.md,1,1,4,AI usage,policy,false,"Group 1 | File: CONTRIBUTING.md | Lines: 4 | Heading: Contributing to Bevy | AI terms: AI usage | Policy terms: policy | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 4] If you'd like to help build Bevy, start by reading this [introduction](https://bevy.org/learn/contribute/introduction), as well as our [policy regarding AI usage](https://bevy.org/learn/contribute/policies/ai/). Thanks for contributing!",3f401d150704ed67ec7e7bc4ddbaca6c9a666eb6,2026-05-22T15:28:47.402059Z,2026-05-22T15:28:47.402059Z,,
blakeblackshear/frigate,https://github.com/blakeblackshear/frigate.git,.github/pull_request_template.md && CONTRIBUTING.md,5,4,5,AI tools; AI usage,contributions; submitting; policy; PR; Contributors; disclosure; contribution,true,"Group 1 | File: .github/pull_request_template.md | Lines: 52, 58 | Heading: AI disclosure | AI terms: AI tools | Policy terms: contributions; submitting; policy; PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 52] <!-- We welcome contributions that use AI tools, but we need to understand your relationship with the code you're submitting. See our AI usage policy in CONTRIBUTING.md for details. || 2. [line 58] - [ ] No AI tools were used in this PR. - [ ] AI tools were used in this PR. Details below: ### Group 2 | File: CONTRIBUTING.md | Lines: 24 | Heading: AI usage policy | AI terms: AI tools | Policy terms: submitting | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 24] AI tools are a reality of modern development and we're not opposed to their use. But we need to understand your relationship with the code you're submitting. The more AI was involved, the more important it is that you've genuinely reviewed, tested, and understood what it produced. ### Group 3 | File: CONTRIBUTING.md | Lines: 37 | Heading: Established contributors | AI terms: AI usage | Policy terms: Contributors; contributions; disclosure | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 37] Contributors with a long history of thoughtful, quality contributions to Frigate have earned trust through that track record. The level of scrutiny we apply to AI usage naturally reflects that trust. This isn't a formal exemption - it's just how trust works. If you've been around, we know how you think and how you work. If you're new, we're still getting to know you, and clear disclosure helps build that relationship. ### Group 4 | File: CONTRIBUTING.md | Lines: 45 | Heading: What this means in practice | AI terms: AI tools | Policy terms: PR; contribution | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 45] One more thing worth saying directly: most maintainers already have access to the same AI tools you do. A PR that's entirely AI-generated - where the author can't explain the design, debug issues independently, or engage substantively in design discussions - doesn't offer something we couldn't produce ourselves. What makes a contribution genuinely valuable is the human judgment and domain understanding behind it, as well as the engagement during review that shapes it into something we can confidently take on long-term.",3a09d01bbe110cff4f25ea36f73a203292c92e1d,2026-05-22T15:48:22.894092Z,2026-05-22T15:48:22.894092Z,,
bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD.git,CONTRIBUTING.md,1,1,3,LLM,PRs,false,"Group 1 | File: CONTRIBUTING.md | Lines: 91 | Heading: AI-Generated Code | AI terms: LLM | Policy terms: PRs | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 91] We will reject PRs that read like raw LLM output: bulk refactors nobody asked for, unsolicited ""improvements"" across many files, or changes where the submitter clearly hasn't read the existing code. Using AI to write code is normal here; using AI as a substitute for thinking is not.",1da6bf80dff34b87ee7098a1f55b38942ad5a4a3,2026-05-22T15:28:48.357350Z,2026-05-22T15:28:48.357350Z,,
caddyserver/caddy,https://github.com/caddyserver/caddy.git,.github/CONTRIBUTING.md && .github/pull_request_template.md,3,2,5,AI tools; AI tool; LLM,submit; contributions; must; require; contributors; disclose; PR,true,"Group 1 | File: .github/CONTRIBUTING.md | Lines: 50, 58 | Heading: Contributing code | AI terms: AI tools; AI tool | Policy terms: submit; contributions; must; require; contributors; disclose | Best score: 5 | Has restrictive term: true | Paragraphs: 1. [line 50] - **You certify that you wrote and comprehend the code you submit.** The Caddy project welcomes original contributions that comply with [our CLA](https://cla-assistant.io/caddyserver/caddy), meaning that authors must be able to certify that they created or have rights to the code they are contributing. In addition, we require that code is not simply copy-pasted from Q/A sites or AI language models without full comprehension and rigorous testing. In other words: contributors are allowed to refer to communities for assistance and use AI tools such as language models for inspiration, but code which originates from or is assisted by these resources MUST be: || 2. [line 58] As a courtesy to reviewers, we kindly ask that you disclose when contributing code that was generated by an AI tool or copied from another website so we can be aware of what to look for in code review. ### Group 2 | File: .github/pull_request_template.md | Lines: 11 | Heading: Assistance Disclosure | AI terms: LLM | Policy terms: PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 11] If you used AI/LLM tooling in any way related to this PR, please let us know to what extent it was utilized.",217a78582465e33498276aff83d9aaeb63a2f88a,2026-05-22T15:24:41.875471Z,2026-05-22T15:24:41.875471Z,,
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang.git,CONTRIBUTING.md,1,1,4,machine-generated,Contributor,false,"Group 1 | File: CONTRIBUTING.md | Lines: 242 | Heading: Using AI-based contribution tools | AI terms: machine-generated | Policy terms: Contributor | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 242] All submissions to Carbon need to follow our [Contributor License Agreement (CLA)](#contributor-license-agreements-clas), which covers any original work of authorship included in the submission. This doesn't prohibit the use of coding assistance tools, including tool-, AI-, or machine-generated code, as long as these submissions abide by the CLA's requirements.",e6b16795521d15ef39e7fd061790f6c188bdb07d,2026-05-22T15:46:41.079906Z,2026-05-22T15:46:41.079906Z,,
certbot/certbot,https://github.com/certbot/certbot.git,.github/pull_request_template.md,1,1,4,AI-generated,PR; contribution; policy; should,true,"Group 1 | File: .github/pull_request_template.md | Lines: 4 | Heading: Pull Request Checklist | AI terms: AI-generated | Policy terms: PR; contribution; policy; should | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 4] - [ ] The Certbot team has recently expressed interest in reviewing a PR for this. If not, this PR may be closed due our limited resources and need to prioritize how we spend them. - [ ] If you used AI to create this PR, you have done a self-review of all AI-generated code and disclosed that your contribution was AI-generated per [EFF's AI-generated contribution policy](https://www.eff.org/about/opportunities/volunteer/coding-with-eff). You assert you have thoroughly understood, reviewed, and tested your entire submission. - [ ] If the change being made is to a [distributed component](https://certbot.eff.org/docs/contributing.html#code-components-and-layout), add a description of your change to the `newsfragments` directory. This should be a file called `<title>.<type>`, where `<title>` is either a GitHub issue number or some other unique name starting with `+`, and `<type>` is either `changed`, `fixed`, or `added`. * For example, if you fixed a bug for issue number 42, create a file called `42.fixed` and put a description of your change in that file. - [ ] Add or update any documentation as needed to support the changes in this PR. - [ ] Include your name in `AUTHORS.md` if you like.",750b9997defdf3be12f826d7e2ea98e7c7572076,2026-05-22T15:47:16.912600Z,2026-05-22T15:47:16.912600Z,,
Cinnamon/kotaemon,https://github.com/Cinnamon/kotaemon.git,docs/development/contributing.md,1,1,3,LLM,PR,false,"Group 1 | File: docs/development/contributing.md | Lines: 96 | Heading: Common conventions | AI terms: LLM | Policy terms: PR | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 96] - PR title: One-line description (example: Feat: Declare BaseComponent and decide LLM call interface). - [Encouraged] Provide a quick description in the PR, so that: - Reviewers can quickly understand the direction of the PR. - It will be included in the commit message when the PR is merged.",4015bb0f7cebd59d474624c4a570a4c119cdd826,2026-05-22T15:51:39.422615Z,2026-05-22T15:51:39.422615Z,,
cjpais/Handy,https://github.com/cjpais/Handy.git,.github/PULL_REQUEST_TEMPLATE.md && CONTRIBUTING.md,3,3,4,AI-generated; AI-assisted,should; contributions; PR; PRs,true,"Group 1 | File: .github/PULL_REQUEST_TEMPLATE.md | Lines: 27 | Heading: Human Written Description | AI terms: AI-generated | Policy terms: should; contributions; PR | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 27] This section should be YOUR thinking, not AI-generated text. Even if AI helped write the code, we want to hear from you directly. Your perspective as a human is what makes contributions meaningful. Your PR may be rejected if you do not include a human-written description. --> ### Group 2 | File: .github/PULL_REQUEST_TEMPLATE.md | Lines: 63 | Heading: AI Assistance | AI terms: AI-assisted | Policy terms: PRs | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 63] <!-- AI-assisted PRs are welcome! Just let us know so we can review appropriately. --> ### Group 3 | File: CONTRIBUTING.md | Lines: 233 | Heading: AI Assistance Disclosure | AI terms: AI-assisted | Policy terms: PRs | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 233] **AI-assisted PRs are welcome!** Use whatever tools help you contribute, just be upfront about it.",e3206aa5725934fdd2fde1d6bfc80193608a1cbf,2026-05-22T15:52:31.333860Z,2026-05-22T15:52:31.333860Z,,
containers/podman,https://github.com/containers/podman.git,CONTRIBUTING.md,3,2,4,LLM; AI tools,Policy; Submitting; Pull Requests; contribution; PRs,false,"Group 1 | File: CONTRIBUTING.md | Lines: 9 | Heading: Topics | AI terms: LLM | Policy terms: Policy; Submitting; Pull Requests | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 9] * [LLM (""AI"") Policy](#llm-ai-policy) * [Reporting Issues](#reporting-issues) * [Working On Issues](#working-on-issues) * [Contributing to Podman](#contributing-to-podman) * [Continuous Integration](#continuous-integration) [![Build Status](https://api.cirrus-ci.com/github/containers/podman.svg)](https://cirrus-ci.com/github/containers/podman/main) * [Submitting Pull Requests](#submitting-pull-requests) * [Communications](#communications) ### Group 2 | File: CONTRIBUTING.md | Lines: 17, 19 | Heading: LLM (""AI"") Policy | AI terms: LLM; AI tools | Policy terms: Policy; contribution; PRs | Best score: 4 | Has restrictive term: false | Paragraphs: 1. [line 17] ## LLM (""AI"") Policy || 2. [line 19] If your contribution is aided by LLMs or other AI tools, please read the [LLM Policy](LLM_POLICY.md). This includes comments, issues, PRs and any other interactions with the Podman team.",f524bce46a66a3f3da7def6a8d1bd1d3b9604b1a,2026-05-22T15:48:30.584440Z,2026-05-22T15:48:30.584440Z,,
continuedev/continue,https://github.com/continuedev/continue.git,CONTRIBUTING.md,2,2,4,LLM,Contribution; Contributor; should,true,"Group 1 | File: CONTRIBUTING.md | Lines: 14 | Heading: Table of Contents | AI terms: LLM | Policy terms: Contribution; Contributor | Best score: 3 | Has restrictive term: false | Paragraphs: 1. [line 14] - [Contributing to Continue](#contributing-to-continue) - [Table of Contents](#table-of-contents) - [❤️ Ways to Contribute](#️-ways-to-contribute) - [👋 Continue Contribution Ideas](#-continue-contribution-ideas) - [🐛 Report Bugs](#-report-bugs) - [✨ Suggest Enhancements](#-suggest-enhancements) - [📖 Updating / Improving Documentation](#-updating--improving-documentation) - [Running the Documentation Server Locally](#running-the-documentation-server-locally) - [Method 1: NPM Script](#method-1-npm-script) - [Method 2: VS Code Task](#method-2-vs-code-task) - [🧑‍💻 Contributing Code](#-contributing-code) - [Environment Setup](#environment-setup) - [Pre-requisites](#pre-requisites) - [Fork the Continue Repository](#fork-the-continue-repository) - [VS Code](#vs-code) - [Debugging](#debugging) - [JetBrains](#jetbrains) - [Our Git Workflow](#our-git-workflow) - [Development Workflow](#development-workflow) - [Formatting](#formatting) - [Theme Colors](#theme-colors) - [Testing](#testing) - [Review Process](#review-process) - [Getting Help](#getting-help) - [Contributing new LLM Providers/Models](#contributing-new-llm-providersmodels) - [Adding an LLM Provider](#adding-an-llm-provider) - [Adding Models](#adding-models) - [📐 Continue Architecture](#-continue-architecture) - [Continue VS Code Extension](#continue-vs-code-extension) - [Continue JetBrains Extension](#continue-jetbrains-extension) - [Contributor License Agreement](#contributor-license-agreement-cla) ### Group 2 | File: CONTRIBUTING.md | Lines: 250 | Heading: Adding an LLM Provider | AI terms: llm | Policy terms: should | Best score: 4 | Has restrictive term: true | Paragraphs: 1. [line 250] 1. Create a new file in the `core/llm/llms` directory. The name of the file should be the name of the provider, and it should export a class that extends `BaseLLM`. This class should contain the following minimal implementation. We recommend viewing pre-existing providers for more details. The [LlamaCpp Provider](./core/llm/llms/LlamaCpp.ts) is a good simple example. 2. Add your provider to the `LLMs` array in [core/llm/llms/index.ts](./core/llm/llms/index.ts). 3. If your provider supports images, add it to the `PROVIDER_SUPPORTS_IMAGES` array in [core/llm/autodetect.ts](./core/llm/autodetect.ts). 4. Add a documentation page for your provider in [ `docs/customize/model-providers/more`](./docs/customize/model-providers/more). This should show an example of configuring your provider in `config.yaml` and explain what options are available.",cb273098d968906d25ee737b454f0b5f13ea2482,2026-05-22T15:47:33.720837Z,2026-05-22T15:47:33.720837Z,,
